ID,landscape,patch,sex,captured_on,date_mating,date_death,outlived_experiment,accidental_death,natural_death_before_dispersal,generation,date_egg,date_hatching,date_maturity,has.tiptoed,N_rappelling,N_other_tiptoe,CT_width1,CT_length1,CT_width2,CT_length2
2_1,west,2,F,April 12 or 13,NA,2018-05-02,0,0,0,0,NA,NA,NA,1,1,0,1.1466,1.345,1.1344,1.3824
2_3,west,2,F,April 12 or 13,NA,2018-04-25,0,0,0,0,NA,NA,NA,1,3,5,1.1349,1.3854,1.1247,1.319
2_5,west,2,F,April 12 or 13,NA,2018-04-26,0,0,0,0,NA,NA,NA,1,1,0,1.2698,1.5261,1.259,1.4554
2_6,west,2,F,April 12 or 13,NA,2018-04-30,0,0,0,0,NA,NA,NA,0,0,0,1.1588,1.3302,1.2076,1.3929
3_6,west,3,F,April 12 or 13,NA,2018-05-02,0,0,0,0,NA,NA,NA,1,0,1,1.2109,1.5884,1.1849,1.561
3_7,west,3,F,April 12 or 13,NA,2018-04-26,0,0,0,0,NA,NA,NA,1,6,4,1.1892,1.1394,1.2269,1.1516
3_8,west,3,F,April 12 or 13,NA,2018-04-25,0,0,0,0,NA,NA,NA,1,11,6,1.1945,1.2927,1.2112,1.3387
3_9,west,3,F,April 12 or 13,NA,2018-05-02,0,0,0,0,NA,NA,NA,1,2,3,1.1889,1.3395,1.2211,1.3083
3_12,west,3,F,April 12 or 13,NA,2018-04-30,0,0,0,0,NA,NA,NA,0,0,0,1.0801,1.4013,1.0749,1.3554
4_2,west,4,F,April 12 or 13,NA,2018-05-02,0,0,0,0,NA,NA,NA,0,0,0,1.1608,1.3613,1.1028,1.2751
5_5,west,5,F,April 12 or 13,NA,2018-04-30,0,0,0,0,NA,NA,NA,1,10,10,1.1178,1.3016,1.1729,1.2955
5_6,west,5,F,April 12 or 13,NA,2018-05-02,0,0,0,0,NA,NA,NA,1,5,2,1.1713,1.4399,1.0978,1.3907
5_8,west,5,F,April 12 or 13,NA,2018-04-30,0,0,0,0,NA,NA,NA,0,0,0,1.2454,1.4464,1.2685,1.3297
5_9,west,5,F,April 12 or 13,NA,2018-05-02,0,0,0,0,NA,NA,NA,1,5,0,1.2483,1.4525,1.27,1.5093
5_11,west,5,F,April 12 or 13,NA,2018-05-02,0,0,0,0,NA,NA,NA,1,12,9,1.1505,1.2692,1.1164,1.3482
5_13,west,5,F,April 12 or 13,NA,2018-05-02,0,0,0,0,NA,NA,NA,0,0,0,1.2172,1.6221,1.1867,1.6329
