ID,landscape,patch,sex,captured_on,generation,date_egg,date_hatching,date_maturity
6a_A,east,6a,M,May 9,0,NA,NA,NA
6a_B,east,6a,M,May 9,0,NA,NA,NA
6a_C,east,6a,M,May 9,0,NA,NA,NA
6a_D,east,6a,M,May 9,0,NA,NA,NA
6b_B,east,6b,M,May 9,0,NA,NA,2018-05-17
8_A,east,8,M,NA,0,NA,NA,NA
2_3_A,west,2,M,NA,1,2018-04-16,2018-04-26,2018-05-14
2_3_B,west,2,M,NA,1,2018-04-16,2018-04-26,2018-06-19
2_3_C,west,2,M,NA,1,2018-04-20,2018-04-30,2018-05-16
2_3_D ,west,2,M,NA,1,2018-04-20,2018-04-30,2018-05-22
2_3_E,west,2,M,NA,1,2018-04-16,2018-04-26,2018-05-22
2_3_F,west,2,M,NA,1,2018-04-20,2018-04-30,2018-05-22
2_3_G,west,2,M,NA,1,2018-04-20,2018-04-30,2018-05-23
2_3_H,west,2,M,NA,1,2018-04-16,2018-04-26,NA
2_3_I,west,2,M,NA,1,2018-04-20,2018-04-30,2018-05-22
2_3_J,west,2,M,NA,1,2018-04-23,2018-05-04,2018-06-04
2_3_K,west,2,M,NA,1,2018-04-23,2018-05-04,2018-05-28
2_3_L,west,2,M,NA,1,2018-04-20,2018-04-30,2018-06-26
2_3_M,west,2,M,NA,1,2018-04-23,2018-05-04,2018-06-04
2_3_N,west,2,M,NA,1,2018-04-16,2018-04-26,2018-05-28
2_3_O,west,2,M,NA,1,2018-04-23,2018-05-04,2018-05-30
2_3_P,west,2,M,NA,1,2018-04-16,2018-04-26,NA
2_3_Q,west,2,M,NA,1,2018-04-23,2018-05-04,2018-06-04
2_3_R,west,2,M,NA,1,2018-04-23,2018-05-04,2018-06-08
2_5_A,west,2,M,NA,1,2018-04-17,2018-04-26,NA
2_5_B,west,2,M,NA,1,2018-04-17,2018-04-26,2018-05-14
2_5_C,west,2,M,NA,1,2018-04-17,2018-04-26,2018-05-22
2_6_A,west,2,M,NA,1,2018-04-23,2018-05-03,2018-05-28
2_6_B,west,2,M,NA,1,2018-04-23,2018-05-03,2018-05-23
2_6_C,west,2,M,NA,1,2018-04-23,2018-05-03,2018-05-28
2_6_D,west,2,M,NA,1,2018-04-23,2018-05-03,2018-05-28
2_6_E,west,2,M,NA,1,2018-04-16,2018-04-23,2018-05-28
2_6_F,west,2,M,NA,1,2018-04-23,2018-05-04,2018-05-30
3_6_A,west,3,M,NA,1,2018-04-16,2018-04-24,2018-05-15
3_6_B,west,3,M,NA,1,2018-04-16,2018-04-24,2018-05-18
3_6_C,west,3,M,NA,1,2018-04-16,2018-04-24,2018-05-15
3_6_D,west,3,M,NA,1,2018-04-16,2018-04-24,2018-05-18
3_6_E,west,3,M,NA,1,2018-04-16,2018-04-24,2018-05-16
3_7_A,west,3,M,NA,1,2018-04-16,2018-04-24,2018-06-18
3_7_B,west,3,M,NA,1,2018-04-16,2018-04-24,NA
3_7_C,west,3,M,NA,1,2018-04-19,2018-04-30,2018-05-28
3_7_D,west,3,M,NA,1,2018-04-19,2018-04-30,NA
3_7_E,west,3,M,NA,1,2018-04-19,2018-04-30,NA
3_7_H,west,3,M,NA,1,NA,NA,NA
3_8_A,west,3,M,NA,1,2018-04-16,2018-04-24,NA
3_9_A,west,3,M,NA,1,2018-04-13,2018-04-24,2018-05-15
3_9_B,west,3,M,NA,1,2018-04-13,2018-04-24,NA
3_9_C,west,3,M,NA,1,2018-04-13,2018-04-24,2018-05-22
3_9_D,west,3,M,NA,1,2018-04-13,2018-04-24,NA
3_9_E,west,3,M,NA,1,2018-04-23,2018-05-03,NA
3_9_F,west,3,M,NA,1,2018-04-23,2018-05-03,2018-06-06
3_9_G,west,3,M,NA,1,2018-04-23,2018-05-03,2018-06-06
3_9_H,west,3,M,NA,1,2018-04-23,2018-05-03,2018-07-02
5_5_A,west,5,M,NA,1,2018-04-16,2018-04-24,NA
5_5_B,west,5,M,NA,1,2018-04-16,2018-04-24,2018-05-09
5_5_C,west,5,M,NA,1,2018-04-16,2018-04-24,2018-05-15
5_5_E,west,5,M,NA,1,2018-04-16,2018-04-24,2018-05-22
5_8_A,west,5,M,NA,1,2018-04-16,2018-04-24,2018-05-18
5_8_B,west,5,M,NA,1,2018-04-16,2018-04-24,2018-05-23
5_8_C,west,5,M,NA,1,2018-04-16,2018-04-24,NA
5_8_D,west,5,M,NA,1,2018-04-18,2018-04-30,2018-05-28
5_8_E,west,5,M,NA,1,2018-04-18,2018-04-30,NA
5_9_A,west,5,M,NA,1,2018-04-16,2018-04-25,2018-05-22
