animal,patch,sex,FATHER,MOTHER,generation
2_1,2,F,NA,NA,0
2_3,2,F,NA,NA,0
2_5,2,F,NA,NA,0
2_6,2,F,NA,NA,0
3_6,3,F,NA,NA,0
3_7,3,F,NA,NA,0
3_8,3,F,NA,NA,0
3_9,3,F,NA,NA,0
3_12,3,F,NA,NA,0
4_2,4,F,NA,NA,0
5_5,5,F,NA,NA,0
5_6,5,F,NA,NA,0
5_8,5,F,NA,NA,0
5_9,5,F,NA,NA,0
5_11,5,F,NA,NA,0
5_13,5,F,NA,NA,0
5_14,5,F,NA,NA,0
5_17,5,F,NA,NA,0
5_19,5,F,NA,NA,0
6a_1,6a,F,NA,NA,0
6a_2,6a,F,NA,NA,0
6a_3,6a,F,NA,NA,0
6a_4,6a,F,NA,NA,0
6a_6,6a,F,NA,NA,0
6a_A,6a,M,NA,NA,0
6a_B,6a,M,NA,NA,0
6a_C,6a,M,NA,NA,0
6a_D,6a,M,NA,NA,0
6b_1,6b,F,NA,NA,0
6b_3,6b,F,NA,NA,0
6b_B,6b,M,NA,NA,0
8_1,8,F,NA,NA,0
8_4,8,F,NA,NA,0
8_12,8,F,NA,NA,0
8_A,8,M,NA,NA,0
9_2,9,F,NA,NA,0
9_3,9,F,NA,NA,0
9_4,9,F,NA,NA,0
9_5,9,F,NA,NA,0
9_6,9,F,NA,NA,0
9_8,9,F,NA,NA,0
9_9,9,F,NA,NA,0
9_10,9,F,NA,NA,0
2_3_1,2,F,NA,2_3,1
2_3_2,2,F,NA,2_3,1
2_3_3,2,F,NA,2_3,1
2_3_4,2,F,NA,2_3,1
2_3_5,2,F,NA,2_3,1
2_3_6,2,F,NA,2_3,1
2_3_7,2,F,NA,2_3,1
2_3_8,2,F,NA,2_3,1
2_3_A,2,M,NA,2_3,1
2_3_B,2,M,NA,2_3,1
2_3_C,2,M,NA,2_3,1
2_3_D ,2,M,NA,2_3,1
2_3_E,2,M,NA,2_3,1
2_3_F,2,M,NA,2_3,1
2_3_G,2,M,NA,2_3,1
2_3_H,2,M,NA,2_3,1
2_3_I,2,M,NA,2_3,1
2_3_J,2,M,NA,2_3,1
2_3_K,2,M,NA,2_3,1
2_3_L,2,M,NA,2_3,1
2_3_M,2,M,NA,2_3,1
2_3_N,2,M,NA,2_3,1
2_3_O,2,M,NA,2_3,1
2_3_P,2,M,NA,2_3,1
2_3_Q,2,M,NA,2_3,1
2_3_R,2,M,NA,2_3,1
2_5_1,2,F,NA,2_5,1
2_5_2,2,F,NA,2_5,1
2_5_3,2,F,NA,2_5,1
2_5_4,2,F,NA,2_5,1
2_5_5,2,F,NA,2_5,1
2_5_6,2,F,NA,2_5,1
2_5_A,2,M,NA,2_5,1
2_5_B,2,M,NA,2_5,1
2_5_C,2,M,NA,2_5,1
2_6_1,2,F,NA,2_6,1
2_6_2,2,F,NA,2_6,1
2_6_3,2,F,NA,2_6,1
2_6_4,2,F,NA,2_6,1
2_6_A,2,M,NA,2_6,1
2_6_B,2,M,NA,2_6,1
2_6_C,2,M,NA,2_6,1
2_6_D,2,M,NA,2_6,1
2_6_E,2,M,NA,2_6,1
2_6_F,2,M,NA,2_6,1
3_6_1,3,F,NA,3_6,1
3_6_2,3,F,NA,3_6,1
3_6_3,3,F,NA,3_6,1
3_6_4,3,F,NA,3_6,1
3_6_A,3,M,NA,3_6,1
3_6_B,3,M,NA,3_6,1
3_6_C,3,M,NA,3_6,1
3_6_D,3,M,NA,3_6,1
3_6_E,3,M,NA,3_6,1
3_7_1,3,F,NA,3_7,1
3_7_2,3,F,NA,3_7,1
3_7_3,3,F,NA,3_7,1
3_7_4,3,F,NA,3_7,1
3_7_5,3,F,NA,3_7,1
3_7_6,3,F,NA,3_7,1
3_7_7,3,F,NA,3_7,1
3_7_A,3,M,NA,3_7,1
3_7_B,3,M,NA,3_7,1
3_7_C,3,M,NA,3_7,1
3_7_D,3,M,NA,3_7,1
3_7_E,3,M,NA,3_7,1
3_7_H,3,M,NA,3_7,1
3_8_1,3,F,NA,3_8,1
3_8_A,3,M,NA,3_8,1
3_9_1,3,F,NA,3_9,1
3_9_A,3,M,NA,3_9,1
3_9_B,3,M,NA,3_9,1
3_9_C,3,M,NA,3_9,1
3_9_D,3,M,NA,3_9,1
3_9_E,3,M,NA,3_9,1
3_9_F,3,M,NA,3_9,1
3_9_G,3,M,NA,3_9,1
3_9_H,3,M,NA,3_9,1
5_5_1,5,F,NA,5_5,1
5_5_2,5,F,NA,5_5,1
5_5_3,5,F,NA,5_5,1
5_5_A,5,M,NA,5_5,1
5_5_B,5,M,NA,5_5,1
5_5_C,5,M,NA,5_5,1
5_5_E,5,M,NA,5_5,1
5_8_1,5,F,NA,5_8,1
5_8_2,5,F,NA,5_8,1
5_8_3,5,F,NA,5_8,1
5_8_4,5,F,NA,5_8,1
5_8_5,5,F,NA,5_8,1
5_8_6,5,F,NA,5_8,1
5_8_7,5,F,NA,5_8,1
5_8_8,5,F,NA,5_8,1
5_8_A,5,M,NA,5_8,1
5_8_B,5,M,NA,5_8,1
5_8_C,5,M,NA,5_8,1
5_8_D,5,M,NA,5_8,1
5_8_E,5,M,NA,5_8,1
5_9_1,5,F,NA,5_9,1
5_9_2,5,F,NA,5_9,1
5_9_3,5,F,NA,5_9,1
5_9_4,5,F,NA,5_9,1
5_9_5,5,F,NA,5_9,1
5_9_6,5,F,NA,5_9,1
5_9_7,5,F,NA,5_9,1
5_9_8,5,F,NA,5_9,1
5_9_9,5,F,NA,5_9,1
5_9_10,5,F,NA,5_9,1
5_9_11,5,F,NA,5_9,1
5_9_12,5,F,NA,5_9,1
5_9_A,5,M,NA,5_9,1
5_9_B,5,M,NA,5_9,1
5_9_C,5,M,NA,5_9,1
5_9_D,5,M,NA,5_9,1
5_9_E,5,M,NA,5_9,1
5_9_F,5,M,NA,5_9,1
5_9_G,5,M,NA,5_9,1
5_9_H,5,M,NA,5_9,1
5_13_1,5,F,NA,5_13,1
5_13_2,5,F,NA,5_13,1
5_13_3,5,F,NA,5_13,1
5_13_4,5,F,NA,5_13,1
5_13_5,5,F,NA,5_13,1
5_13_6,5,F,NA,5_13,1
5_13_7,5,F,NA,5_13,1
5_13_A,5,M,NA,5_13,1
5_13_B,5,M,NA,5_13,1
5_13_C,5,M,NA,5_13,1
5_13_D,5,M,NA,5_13,1
5_13_E,5,M,NA,5_13,1
5_13_F,5,M,NA,5_13,1
5_13_G,5,M,NA,5_13,1
5_13_H,5,M,NA,5_13,1
5_13_I,5,M,NA,5_13,1
5_13_J,5,M,NA,5_13,1
5_13_K,5,M,NA,5_13,1
5_13_L,5,M,NA,5_13,1
5_13_M,5,M,NA,5_13,1
5_13_N,5,M,NA,5_13,1
5_13_O,5,M,NA,5_13,1
5_14_1,5,F,NA,5_14,1
5_14_2,5,F,NA,5_14,1
5_14_3,5,F,NA,5_14,1
5_14_4,5,F,NA,5_14,1
5_14_5,5,F,NA,5_14,1
5_14_A,5,M,NA,5_14,1
5_14_B,5,M,NA,5_14,1
5_14_C,5,M,NA,5_14,1
5_14_D,5,M,NA,5_14,1
5_14_E,5,M,NA,5_14,1
5_17_1,5,F,NA,5_17,1
5_17_2,5,F,NA,5_17,1
5_17_3,5,F,NA,5_17,1
5_17_A,5,M,NA,5_17,1
6a_1_1,6a,F,NA,6a_1,1
6a_1_2,6a,F,NA,6a_1,1
6a_1_3,6a,F,NA,6a_1,1
6a_1_4,6a,F,NA,6a_1,1
6a_1_5,6a,F,NA,6a_1,1
6a_1_6,6a,F,NA,6a_1,1
6a_1_7,6a,F,NA,6a_1,1
6a_1_8,6a,F,NA,6a_1,1
6a_1_A,6a,M,NA,6a_1,1
6a_1_B,6a,M,NA,6a_1,1
6a_1_C,6a,M,NA,6a_1,1
6a_1_D,6a,M,NA,6a_1,1
6a_1_E,6a,M,NA,6a_1,1
6a_1_F,6a,M,NA,6a_1,1
6a_1_G,6a,M,NA,6a_1,1
6a_1_H,6a,M,NA,6a_1,1
6a_1_I,6a,M,NA,6a_1,1
6a_2_1,6a,F,NA,6a_2,1
6a_2_2,6a,F,NA,6a_2,1
6a_2_3,6a,F,NA,6a_2,1
6a_2_4,6a,F,NA,6a_2,1
6a_2_5,6a,F,NA,6a_2,1
6a_2_6,6a,F,NA,6a_2,1
6a_2_7,6a,F,NA,6a_2,1
6a_2_8,6a,F,NA,6a_2,1
6a_2_9,6a,F,NA,6a_2,1
6a_2_A,6a,M,NA,6a_2,1
6a_2_B,6a,M,NA,6a_2,1
6a_2_C,6a,M,NA,6a_2,1
6a_2_D,6a,M,NA,6a_2,1
6a_2_E,6a,M,NA,6a_2,1
6a_2_F,6a,M,NA,6a_2,1
6a_3_1,6a,F,NA,6a_3,1
6a_3_2,6a,F,NA,6a_3,1
6a_3_3,6a,F,NA,6a_3,1
6a_3_4,6a,F,NA,6a_3,1
6a_3_A,6a,M,NA,6a_3,1
